"id","question","options","answer","storylineHintKey","fallbackHint"
"26","Which Great Lake is the primary source of the St. Lawrence River?","Lake Superior|Lake Huron|Lake Erie|Lake Ontario","Lake Ontario","river_origin_clue","The St. Lawrence River begins at the northeastern end of Lake Ontario, flowing northeast towards the Atlantic Ocean."
"27","What type of bridge is the international span of the Thousand Islands Bridge System that crosses the St. Lawrence River's main shipping channel?","Cantilever bridge|Suspension bridge|Arch bridge|Cable-stayed bridge","Suspension bridge","bridge_type_1","To allow large ocean-going vessels to pass underneath, the main part of the Thousand Islands Bridge is a suspension bridge."
"28","Which famous American president owned a summer home on Campobello Island, near the Thousand Islands region?","Theodore Roosevelt|Franklin D. Roosevelt|John F. Kennedy|Abraham Lincoln","Franklin D. Roosevelt","historical_figure_clue","While not in the Thousand Islands, Franklin D. Roosevelt's beloved summer home on Campobello Island, NB, reflects the region's history as a retreat for the influential."
"29","What is the approximate length of the Thousand Islands region along the St. Lawrence River?","10 miles|50 miles|100 miles|200 miles","50 miles","region_geography_clue","The Thousand Islands archipelago stretches for about 50 miles (80 km) downstream from Kingston, Ontario."
"30","The Alster Tower on Dark Island (Singer Castle) was inspired by a structure in which country?","Germany|France|England|Scotland","Germany","alster_tower_inspiration_1","The Alster Tower's design is based on a castle described in the novel 'Woodstock' by Sir Walter Scott, which was set in Germany."
"31","What unique geological feature characterizes many of the Thousand Islands, creating steep cliffs and deep channels?","Volcanic craters|Glacial sculpting|Coral reefs|Meteor impact sites","Glacial sculpting","geology_mystery_clue","Massive glaciers carved and shaped the landscape, exposing the hard granite hills and creating the rugged beauty of the islands."
"32","The Thousand Islands National Park is managed by which country?","United States|Canada|Jointly by US & Canada|United Nations","Canada","national_park_management_1","Established in 1904, Thousand Islands National Park is one of Canada's oldest national parks."
"33","What is the primary species of pine tree commonly found on the islands?","Loblolly Pine|Ponderosa Pine|Eastern White Pine|Scots Pine","Eastern White Pine","flora_fauna_clue","The tall, distinctive Eastern White Pine is a signature tree of the region's ecosystem."
"34","Rock Island Lighthouse State Park features a lighthouse built in what century?","17th Century|18th Century|19th Century|20th Century","19th Century","lighthouse_legend_clue","The historic Rock Island Lighthouse was first lit in 1847 to guide ships through the treacherous waters."
"35","Which of these towns is NOT considered a major hub for Thousand Islands tourism on the US side?","Alexandria Bay, NY|Clayton, NY|Sackets Harbor, NY|Syracuse, NY","Syracuse, NY","us_tourism_hub_1","While a major city in Central New York, Syracuse is not located on the St. Lawrence River and is not a direct hub for island tourism."
"36","The Frederic Remington Art Museum, featuring works of the famous Western artist, is located in which nearby town?","Clayton|Ogdensburg|Watertown|Gananoque","Ogdensburg","local_culture_clue","Located in Ogdensburg, NY, the museum is dedicated to Frederic Remington, who was famous for his depictions of the American Old West."
"37","During the War of 1812, which strategic naval base was located near the Thousand Islands on the US side?","Fort Niagara|Fort Ticonderoga|Sackets Harbor|West Point","Sackets Harbor","war_history_clue","Sackets Harbor was the center of American naval and military operations on Lake Ontario during the War of 1812."
"38","What is the name of the large, migratory bird of prey often seen soaring above the Thousand Islands?","Bald Eagle|Golden Eagle|Osprey|Peregrine Falcon","Osprey","bird_of_prey_1","Ospreys, also known as 'fish hawks,' are a common sight and build large nests near the water throughout the islands."
"39","The 'Boldt Castle Yacht House' is notable for housing what?","Modern luxury yachts|A collection of historic houseboats and antique wooden boats|A submarine|A seaplane hangar","A collection of historic houseboats and antique wooden boats","boldt_yacht_house_1","The enormous Boldt Castle Yacht House on Wellesley Island houses a rare collection of historic wooden boats, including a luxurious houseboat."
"40","What is the common name for 'Esox masquinongy', a large predatory fish found in the St. Lawrence River?","Northern Pike|Walleye|Muskellunge|Lake Sturgeon","Muskellunge","muskellunge_name_1","Esox masquinongy is the scientific name for the Muskellunge, often called a 'muskie' for short."
"41","The term 'cottage country' is often used to describe the Thousand Islands. What does 'cottage' typically refer to here?","Small, rustic shacks|Modest, one-room cabins|Seasonal vacation homes, often quite grand|Agricultural farmhouses","Seasonal vacation homes, often quite grand","cottage_country_1","In this region, 'cottage' is a term for any seasonal home, many of which are large, elaborate mansions built during the Gilded Age."
"42","Which of the Thousand Islands is home to the 'Half Moon Bay', known for its unique rock formations?","Wellesley Island|Grindstone Island|Carleton Island|Howe Island","Wellesley Island","half_moon_bay_1","Half Moon Bay is a scenic cove on Wellesley Island where it was traditional for boaters to attend non-denominational Sunday services from their boats."
"43","The International Rift is a narrow, deep section of the river located between which two islands?","Heart Island and Dark Island|Wellesley Island (US) and Hill Island (Canada)|Grindstone Island and Wolfe Island|Just Room Enough Island and Longue Vue Island","Wellesley Island (US) and Hill Island (Canada)","international_rift_1","The International Rift is a very narrow channel where the US-Canada border runs, located under the main span of the Thousand Islands Bridge."
"44","What is 'skiff life,' a term associated with the region?","A type of fishing lure|A lifestyle centered around small, open motorboats|A competitive rowing sport|A local theater production","A lifestyle centered around small, open motorboats","skiff_life_1","The 'skiff life' refers to the local culture of using small, versatile St. Lawrence Skiffs for transportation, fishing, and recreation among the islands."
"45","The Cornwall-Massena International Bridge is another major crossing. What does it primarily facilitate besides passenger vehicles?","Pedestrian traffic|High-speed rail|Shipping and power line transmission|Bicycle tours","Shipping and power line transmission","cornwall_bridge_1","This bridge is crucial for international trade and crosses over the St. Lawrence-FDR Power Project dam."
"46","What does 'Iroquoian' refer to in the context of the Thousand Islands' history?","A style of architecture|A group of Indigenous peoples native to the region|A type of sailing ship|A French colonial fort","A group of Indigenous peoples native to the region","native_history_clue","The Iroquoian peoples, including the Haudenosaunee Confederacy, have inhabited this region for centuries before European arrival."
"47","Devil's Oven on Grindstone Island is what kind of natural feature?","A hot spring|A large cave or rock shelter|A volcanic vent|A meteor crater","A large cave or rock shelter","devils_oven_1","Devil's Oven is a large cave rumored to have been used by the pirate Bill Johnston as a hideout."
"48","The 'Frontenac Arch Biosphere Reserve' encompasses the Thousand Islands. What is a biosphere reserve?","A military exclusion zone|An area promoting sustainable development based on local community efforts and sound science|A theme park|A private hunting ground","An area promoting sustainable development based on local community efforts and sound science","biosphere_reserve_1","A UNESCO Biosphere Reserve is an area recognized for its unique ecosystem and its commitment to balancing conservation with sustainable human activity."
"49","Before European settlement, the region was primarily the territory of which major Iroquoian confederacy?","The Cherokee Nation|The Haudenosaunee (Iroquois Confederacy)|The Anishinaabe|The Sioux Nation","The Haudenosaunee (Iroquois Confederacy)","haudenosaunee_territory_1","The Haudenosaunee, also known as the Iroquois Confederacy or Six Nations, have ancestral ties to the Thousand Islands region."
"50","What is the 'Thousand Islands Winery' known for, besides wine?","Its historic castle|Its extensive cave system|Its scenic location and local product focus|Its Olympic-sized swimming pool","Its scenic location and local product focus","winery_known_for_1","As one of the first wineries in the region, it's a popular stop on the Thousand Islands Seaway Wine Trail."
"51","The Gananoque Boat Line offers tours originating from which country?","USA|Canada|Both USA and Canada|Mexico","Canada","gananoque_boat_line_1","Gananoque is a town in Ontario, Canada, and its boat line is one of the primary ways to see the islands from the Canadian side."
"52","What is a 'see-way' lock, as part of the St. Lawrence Seaway system?","A type of fishing net|A device for raising and lowering boats between different water levels|A secure storage facility for boats|A brand of nautical GPS","A device for raising and lowering boats between different water levels","seaway_lock_1","Locks function like giant water elevators, allowing massive ships to bypass rapids and changes in elevation along the river."
"53","Tibbetts Point Lighthouse marks the entrance of the St. Lawrence River from which Great Lake?","Lake Huron|Lake Erie|Lake Ontario|Lake Superior","Lake Ontario","tibbetts_point_1","Located at the point where Lake Ontario meets the St. Lawrence River, Tibbetts Point Lighthouse is a crucial navigational aid."
"54","The 'Smugglers' Run' is a term often associated with the Thousand Islands during which historical period?","The Gold Rush|The American Revolution|The Prohibition Era|The Viking Age","The Prohibition Era","smugglers_run_1","During the 1920s and early 1930s, the maze-like islands were a perfect route for smuggling alcohol from Canada into the United States."
"55","What popular summer event in Alexandria Bay features a week of pirate-themed festivities?","River Fest|Boldt Castle Regatta|Bill Johnston's Pirate Days|Island Folk Festival","Bill Johnston's Pirate Days","pirate_days_1","This annual event celebrates the region's most famous pirate with parades, block dances, and a mock pirate 'invasion' of the town."
"56","What is the '1000 Islands Tower'?","A historic lighthouse|An observation tower on Hill Island, Canada|A water tower in Alexandria Bay|A skyscraper in Kingston","An observation tower on Hill Island, Canada","islands_tower_1","The 1000 Islands Tower provides stunning 360-degree panoramic views of the islands from a height of 400 feet (130 meters)."
"57","Which US President signed the bill creating the St. Lawrence Seaway Development Corporation?","Harry S. Truman|Dwight D. Eisenhower|John F. Kennedy|Lyndon B. Johnson","Dwight D. Eisenhower","seaway_president_1","In 1954, President Eisenhower signed the Wiley-Dondero Act, which authorized the joint construction of the Seaway with Canada."
"58","What is 'eel fishing' traditionally practiced with in the St. Lawrence River?","Rod and reel|Nets|Spears|Bare hands","Spears","eel_fishing_1","Spearfishing for eels, often at night from a boat with a light, is a traditional practice in the region, particularly among the Mohawk people of Akwesasne."
"59","The 'Lost Channel' is a famously difficult-to-navigate area. Why?","It's always foggy|Strong currents and hidden shoals|Pirate activity|Magnetic anomalies","Strong currents and hidden shoals","lost_channel_1","The Lost Channel is a narrow and confusing passage where a British expeditionary force famously got lost in 1760."
"60","What popular boating event involves a 'poker run' in the Thousand Islands?","A charity speedboat event|A canoe race|A sailing regatta|A fishing tournament","A charity speedboat event","poker_run_1","In a poker run, participants travel by high-performance boat to five to seven different checkpoints, drawing a playing card at each one to build a poker hand."
"61","Alster Tower at Boldt Castle, with its bowling alley, was intended as what?","A guesthouse|A children's playhouse|A library|A boathouse","A children's playhouse","alster_tower_purpose_1","Alster Tower was designed as a fantasy structure and retreat for the Boldt children, complete with a bowling alley and library."
"62","The 'Thousand Islands Parkway' offers scenic views along which country's shoreline?","USA|Canada|Mexico|France","Canada","parkway_location_1","The Thousand Islands Parkway is a 25-mile (40 km) scenic road that runs along the north shore of the St. Lawrence River in Ontario, Canada."
"63","What does the term 'laker' refer to in the context of St. Lawrence Seaway shipping?","A type of pleasure boat|A large cargo ship designed for the Great Lakes and Seaway|A resident of the Great Lakes region|A type of fish","A large cargo ship designed for the Great Lakes and Seaway","laker_definition_1","Lakers are long, narrow cargo ships built specifically to fit through the locks of the Great Lakes and the St. Lawrence Seaway."
"64","'Calumet Island' was once owned by which famous American tobacco tycoon who built a castle there?","R.J. Reynolds|James Buchanan Duke|Charles G. Emery|Pierre Lorillard","Charles G. Emery","calumet_island_owner_1","Charles G. Emery, a partner in the American Tobacco Company, built a grand chateau on Calumet Island, which unfortunately burned down in the 1950s."
"65","What is the 'Zenda Farms Preserve' known for?","A historic amusement park|A working dairy farm and nature trails|A vineyard|An artist colony","A working dairy farm and nature trails","zenda_farms_1","Located near Clayton, NY, the Zenda Farms Preserve protects a historic farm landscape and offers public trails for walking and cross-country skiing."
"66","The 'Battle of the Windmill' in 1838 took place near which present-day Ontario town?","Kingston|Gananoque|Prescott|Brockville","Prescott","windmill_battle_location_1","The Battle of the Windmill was a skirmish during the Patriot War where Canadian rebels and American sympathizers fought against British forces."
"67","What is the main material used in the construction of the original hotel in the 'Thousand Islands Dressing' origin story?","Stone|Brick|Wood|Concrete","Wood","dressing_hotel_material_1","The original Herald Hotel in Clayton, NY, where Thousand Island Dressing was popularized, was a classic large wooden hotel of the era."
"68","Which of these is a common type of duck seen in the Thousand Islands during migration?","Penguin|Puffin|Canvasback|Ostrich","Canvasback","duck_migration_1","The Canvasback is a large diving duck that migrates through the region, often stopping to rest and feed on the St. Lawrence River."
"69","The 'Rideau Canal,' a UNESCO World Heritage Site, connects Kingston to which other Canadian city?","Toronto|Montreal|Ottawa|Quebec City","Ottawa","rideau_canal_connects_1","The Rideau Canal allows boat traffic to travel from Kingston on Lake Ontario to Ottawa, the capital of Canada."
"70","What is the 'Minna Anthony Common Nature Center' located on?","Wellesley Island State Park|Heart Island|Dark Island|Grindstone Island","Wellesley Island State Park","minna_anthony_location_1","The Minna Anthony Common Nature Center is one of the largest nature centers in the New York State Park system, offering year-round educational programs."
"71","What is the 'Thousand Islands Land Trust (TILT)' primarily involved in?","Developing luxury resorts|Conserving natural areas and wildlife habitats|Operating tour boats|Managing lighthouses","Conserving natural areas and wildlife habitats","tilt_mission_1","TILT is a non-profit organization dedicated to working with landowners to conserve the natural beauty and ecological integrity of the Thousand Islands region."
"72","What is the name of the Canadian island that is home to the '1000 Islands Tower'?","Wolfe Island|Howe Island|Hill Island|Grenadier Island","Hill Island","tower_island_1","Hill Island is a Canadian island in the St. Lawrence River that is connected to the mainland by the Thousand Islands Bridge system."
"73","The 'Frontenac' was a famous 19th-century luxury steamboat that unfortunately did what in 1907?","Won many races|Burned and sank|Was converted into a casino|Served as a hospital ship","Burned and sank","frontenac_fate_1","The luxurious steamboat 'Frontenac' caught fire and sank near the shore of Wellesley Island in 1907, a dramatic end to a Gilded Age vessel."
"74","What is the 'Thousand Islands Biological Station (TIBS)' primarily focused on?","Astronomical observation|Aquatic research and education|Geological surveys|Bird watching tours","Aquatic research and education","tibs_focus_1","TIBS is a research facility on Governor's Island dedicated to studying the ecology of the St. Lawrence River and surrounding freshwater ecosystems."
"75","The 'Thousand Islands Playhouse' in Gananoque, ON, is known for what?","Opera performances|Professional live theatre|Puppet shows|Movie screenings","Professional live theatre","playhouse_known_for_1","The Thousand Islands Playhouse is one of Canada's most popular summer theatre festivals, located in a scenic spot on the banks of the St. Lawrence River."
"76","What does the term 'shoal' mean in a river context?","A deep channel|A school of fish|A shallow area dangerous to navigation|A type of buoy","A shallow area dangerous to navigation","shoal_definition_1","A shoal is an area of the riverbed that is very shallow, posing a significant risk to boats that can run aground on them."
"77","What is the 'Sister Island Lighthouse' notable for?","Being the tallest lighthouse|Its unique twin structures (historically)|Being made entirely of wood|Its red and white stripes","Its unique twin structures (historically)","sister_island_lighthouse_1","The Sister Island Lighthouse originally consisted of two identical towers on two small, adjacent islands, working together to guide ships."
"78","The 'Canadian Covenanter,' a shipwreck, is a popular site for what activity?","Fishing|Scuba diving|Sunbathing|Kayaking around","Scuba diving","covenanter_shipwreck_1","The wreck of the Covenanter is a well-known and accessible site for recreational scuba divers exploring the history beneath the river's surface."
"79","What is 'Fort Henry' in Kingston, ON, primarily known as?","A modern art gallery|A 19th-century British military fortress|A shopping mall|A sports stadium","A 19th-century British military fortress","fort_henry_1","Fort Henry is a national historic site that recreates 19th-century military life with garrison parades, drills, and historical interpreters."
"80","Zavikon Island is famous for what (often mythologized) feature spanning the US-Canada border?","The world's tallest flagpole|The world's shortest international bridge|A natural hot spring|A secret underwater tunnel","The world's shortest international bridge","zavikon_island_bridge_1","Zavikon Island features a 32-foot bridge connecting it to a smaller island. Tour guides often claim it's the shortest international bridge, although the islands are both in Canada."
"81","What is the 'Thousand Islands International Bridge' system composed of?","One single, long bridge|A series of bridges and islands|A tunnel and a bridge|Only a ferry system","A series of bridges and islands","bridge_info_1","The system consists of five separate bridges that hop across islands to connect the U.S. and Canada."
"82","The town of Gananoque, ON, is often called the 'Gateway to the Thousand Islands' for which country?","USA|Canada|Mexico|France","Canada","canadian_gateway_1","Gananoque is a primary hub on the Canadian side for boat tours and access to the Thousand Islands National Park."
"83","Which type of tree is NOT commonly found giving the Thousand Islands their characteristic forested look?","Oak|Maple|Pine|Palm","Palm","flora_fauna_clue","The northern climate of the Thousand Islands supports hardwoods like oak and maple and softwoods like pine, but is far too cold for palm trees."
"84","The 'Aquatarium' in Brockville, ON, primarily focuses on what aspect of the Thousand Islands?","History of piracy|Aquatic life and ecosystems|Antique boat building|Military history","Aquatic life and ecosystems","local_culture_clue","The Aquatarium is an interactive science and education museum focusing on the unique wildlife and environment of the Thousand Islands region."
"85","What is the minimum size criterion for an island to be counted in the Thousand Islands?","Must support at least one building|Must support at least two living trees and be above water year-round|Must be larger than 10 square feet|No specific size, just visible land","Must support at least two living trees and be above water year-round","island_count_1","This specific rule is what separates a true 'island' from just a rock or shoal in the official count."
"86","During the winter, large parts of the St. Lawrence River in the Thousand Islands can experience what?","Tropical storms|Complete freezing over, allowing ice roads|Increased water levels|Arrival of migratory whales","Complete freezing over, allowing ice roads","region_geography_clue","In cold winters, the ice can become thick enough for cars to drive over, forming temporary 'ice roads' between islands and the mainland."
"87","The 'Thousand Islands National Park' was the first Canadian National Park established east of what geographical feature?","The Great Lakes|The Rocky Mountains|Hudson Bay|The Appalachian Mountains","The Rocky Mountains","national_park_management_1","Established in 1904, it was the first of Canada's National Parks to be located east of the Canadian Rockies."
"88","What is a 'Tour Boat Captain' in the Thousand Islands primarily responsible for?","Fishing charters|Navigating tour vessels and providing commentary|Repairing boat engines|Selling souvenirs","Navigating tour vessels and providing commentary","river_rat_meaning_1","A good tour boat captain is both a skilled pilot and a storyteller, sharing the history and lore of the islands with passengers."
"89","The construction of the St. Lawrence Seaway in the 1950s involved what major impact on some riverside communities?","They became major tourist hubs overnight|They were relocated or 'drowned' by rising water levels|They experienced a gold rush|They were designated as national parks","They were relocated or 'drowned' by rising water levels","seaway_journey_1","The 'Lost Villages' were ten communities in Ontario that were permanently flooded by the creation of the St. Lawrence Seaway."
"90","What is the primary industry that historically sustained many small communities in the Thousand Islands before large-scale tourism?","Tech startups|Manufacturing|Fishing, logging, and small-scale farming|Aerospace engineering","Fishing, logging, and small-scale farming","island_traditions_clue","Before the Gilded Age brought wealthy tourists, the local economy relied on the natural resources of the river and islands."
"91","Which of these is a famous shipwreck visible to divers in the Thousand Islands, known for its intact propeller?","The Edmund Fitzgerald|The Titanic|The Sir Robert Peel|The Roy A. Jodrey","The Roy A. Jodrey","lost_ships_1","The Roy A. Jodrey was a modern laker that sank in 1974. Its massive, intact propeller is a highlight for advanced divers."
"92","The 'Gilded Age' refers to a period of great wealth in the late 19th century. How did this era impact the Thousand Islands?","It led to the area being abandoned|Wealthy industrialists built elaborate summer homes and castles|It caused extensive industrial pollution|The islands were sold to foreign powers","Wealthy industrialists built elaborate summer homes and castles","historical_figure_clue","The Thousand Islands became a fashionable summer resort for the elite, leading to the construction of magnificent 'cottages' and castles."
"93","What is the 'Thousand Islands Emergency Rescue Service (TIERS)'?","A pizza delivery service|A volunteer-based marine rescue organization|A historical reenactment group|A weather forecasting station","A volunteer-based marine rescue organization","skiff_life_1","TIERS is a crucial volunteer service providing emergency response and ambulance service to the island communities."
"94","Many islands have names like 'Grindstone', 'Sugar', or 'Picton'. What do these names often reflect?","Random choices by mapmakers|Names of famous racehorses|Historical uses, local legends, or early settlers/owners|Alien languages","Historical uses, local legends, or early settlers/owners","river_origin_clue","Island names often provide clues to their history, such as Grindstone Island, which was once a source for large grindstones."
"95","What role did the Thousand Islands play during the War of 1812 between the US and Great Britain (Canada)?","It was a neutral zone respected by both sides|It was a primary battlefield with major land engagements|It was a strategic waterway for troop movement and smuggling, with some skirmishes|It was completely uninhabited and ignored","It was a strategic waterway for troop movement and smuggling, with some skirmishes","war_history_clue","The maze of islands was used by both sides for strategic movement and was the site of several small naval actions and raids."
"96","What is the 'Thousand Islands Water Trail'?","A series of underwater tunnels|A designated route for kayakers and canoeists|A famous hiking path|A water skiing competition course","A designated route for kayakers and canoeists","water_activity_1","The water trail is a network of routes and rest stops designed to help paddlers safely explore the islands."
"97","The architectural style of Boldt Castle is best described as:","Modern Minimalist|Art Deco|Châteauesque / Rhineland Castle|Log Cabin","Châteauesque / Rhineland Castle","boldt_secret_1","The design of Boldt Castle mimics the grand castles found along the Rhine River in Germany."
"98","What is a common challenge for homeowners on the smaller, more remote islands?","Too much tourist traffic|Lack of internet access|Utility access (water, power, septic) and boat-only access|Constant pirate attacks","Utility access (water, power, septic) and boat-only access","small_island_clue_1","Living on an island requires careful planning for utilities and the fact that all transportation is by boat."
"99","The 'Muskie Hall of Fame' is located in which Thousand Islands town?","Alexandria Bay, NY|Clayton, NY|Gananoque, ON|Cape Vincent, NY","Clayton, NY","fish_expert_clue","The Muskie Hall of Fame, celebrating the region's most famous game fish, is located within the Antique Boat Museum in Clayton."
"100","What is the '1000 Islands Charity Poker Run' primarily known for?","Its slow, scenic pace|High-performance powerboats and fundraising|Its focus on antique sailboats|Being a silent, non-motorized event","High-performance powerboats and fundraising","poker_run_1","This annual event brings hundreds of powerful speedboats to the river to raise money for local charities."
"101","Besides George Boldt, which other famous hotelier owned property in the Thousand Islands, specifically 'Hopewell Hall'?","Conrad Hilton|Cesar Ritz|Abraham Abraham (Abraham & Straus)|J.W. Marriott","Abraham Abraham (Abraham & Straus)","historical_figure_clue","Abraham Abraham, co-founder of the Abraham & Straus department store, owned a magnificent estate called Hopewell Hall."
"102","The 'Mohawk Nation' is part of which larger Indigenous confederacy historically present in the Thousand Islands?","Algonquin|Sioux|Haudenosaunee (Iroquois)|Cherokee","Haudenosaunee (Iroquois)","native_history_clue","The Mohawk are one of the founding nations of the Haudenosaunee (or Iroquois) Confederacy, whose traditional territory includes the St. Lawrence River valley."
"103","What activity is often associated with the 'Narrows' section of the St. Lawrence River near Alexandria Bay?","Calm, easy sailing|Congested boat traffic and scenic castle views|White water rafting|Surfing","Congested boat traffic and scenic castle views","geography_mystery_clue","The Narrows is a busy shipping channel that passes directly in front of Boldt Castle, making it a popular and sometimes crowded spot for boaters."
